,Name,label
0,Ñiguez,0
1,Açaola,0
2,Añaños,0
3,Añale,0
4,Añazco,0
5,Añel,0
6,Añez,0
7,Añezcar,0
8,Añibarro,0
9,Añino,0
10,Año,0
11,Añon,0
12,Añorbe,0
13,Añorga,0
14,Añover,0
15,Aaguirre,0
16,Aali,0
17,Aalsburg,0
18,Aalst,0
19,Aarab,0
20,Aarents,0
21,Aarle,0
22,Aarns,0
23,Aaron,0
24,Aaronin,0
25,Aaronsen,0
26,Aaronson,0
27,Aaronstein,0
28,Aart,0
29,Aarts,0
30,Aartz,0
31,Aba,0
32,Ababei,0
33,Ababko,0
34,Ababou,0
35,Abad,0
36,Abadal,0
37,Abade,0
38,Abades,0
39,Abadesso,0
40,Abadia,0
41,Abadiano,0
42,Abadias,0
43,Abadie,0
44,Abadin,0
45,Abadito,0
46,Abaev,0
47,Abaga,0
48,Abagyan,0
49,Abaidulin,0
50,Abaidullin,0
51,Abaigar,0
52,Abaimoff,0
53,Abaimov,0
54,Abaitua,0
55,Abaiz,0
56,Abajas,0
57,Abajo,0
58,Abakeliya,0
59,Abakovsky,0
60,Abakshin,0
61,Abakumoff,0
62,Abakumov,0
63,Abakumtsev,0
64,Abakushin,0
65,Abal,0
66,Abalada,0
67,Abalakin,0
68,Abalakoff,0
69,Abalakov,0
70,Abalde,0
71,Abaleshev,0
72,Abalia,0
73,Abalibide,0
74,Abalihin,0
75,Abalikhin,0
76,Abalkin,0
77,Aballe,0
78,Abalmasoff,0
79,Abalmasov,0
80,Abalo,0
81,Abaloff,0
82,Abalos,0
83,Abalov,0
84,Abalroado,0
85,Abamelek,0
86,Aban,0
87,Abanades,0
88,Abando,0
89,Abanin,0
90,Abankin,0
91,Abans,0
92,Abanto,0
93,Abarca,0
94,Abardia,0
95,Abargues,0
96,Abaria,0
97,Abarinoff,0
98,Abarinov,0
99,Abarkan,0
100,Abaroa,0
101,Abarquero,0
102,Abarrategui,0
103,Abarzuza,0
104,Abas,0
105,Abascal,0
106,Abasheev,0
107,Abashev,0
108,Abashidze,0
109,Abashin,0
110,Abashkin,0
111,Abasolo,0
112,Abasov,0
113,Abate,0
114,Abati,0
115,Abatsiev,0
116,Abatti,0
117,Abaturoff,0
118,Abaturov,0
119,Abaunza,0
120,Abaurre,0
121,Abaurrea,0
122,Abaurrea-Abaurrea,0
123,Abaygar,0
124,Abaza,0
125,Abaziev,0
126,Abba,0
127,Abbad,0
128,Abbadi,0
129,Abbakumov,0
130,Abbakumovsky,0
131,Abbas,0
132,Abbasov,0
133,Abbassi,0
134,Abbate,0
135,Abbel,0
136,Abbey,0
137,Abbott,0
138,Abbou,0
139,Abbrecht,0
140,Abbruzzese,0
141,Abdala,0
